shape,n_points,eig_index,eigenvalue,uncanon_score,is_uncanonicalizable,spectral_gap
symmetria/human/inst03_noise0.000,896,17,2.30155254,0.102842,True,0.06707053
symmetria/human/inst03_noise0.000,896,18,2.51534682,0.045246,True,0.06707053
symmetria/human/inst03_noise0.000,896,19,2.72865892,0.105552,True,0.06707053
symmetria/human/inst03_noise0.010,896,0,-0.00000000,2.000000,False,0.06847947
symmetria/human/inst03_noise0.010,896,1,0.06847947,0.285279,False,0.06847947
symmetria/human/inst03_noise0.010,896,2,0.23299136,0.176199,False,0.06847947
symmetria/human/inst03_noise0.010,896,3,0.32536429,0.223449,False,0.06847947
symmetria/human/inst03_noise0.010,896,4,0.50567882,0.104228,True,0.06847947
symmetria/human/inst03_noise0.010,896,5,0.66394917,0.074772,True,0.06847947
symmetria/human/inst03_noise0.010,896,6,0.83202793,0.312244,False,0.06847947
symmetria/human/inst03_noise0.010,896,7,0.86373701,0.157940,True,0.06847947
symmetria/human/inst03_noise0.010,896,8,1.15058953,0.460089,False,0.06847947
symmetria/human/inst03_noise0.010,896,9,1.30550697,0.215215,False,0.06847947
symmetria/human/inst03_noise0.010,896,10,1.36306749,0.123694,True,0.06847947
symmetria/human/inst03_noise0.010,896,11,1.59682759,0.090025,True,0.06847947
symmetria/human/inst03_noise0.010,896,12,1.64647328,0.138580,True,0.06847947
symmetria/human/inst03_noise0.010,896,13,1.68760986,0.383965,False,0.06847947
symmetria/human/inst03_noise0.010,896,14,1.95593019,0.163328,True,0.06847947
symmetria/human/inst03_noise0.010,896,15,2.12181076,0.147180,True,0.06847947
symmetria/human/inst03_noise0.010,896,16,2.21109925,0.124524,True,0.06847947
symmetria/human/inst03_noise0.010,896,17,2.39712628,0.163658,True,0.06847947
symmetria/human/inst03_noise0.010,896,18,2.54111359,0.122570,True,0.06847947
symmetria/human/inst03_noise0.010,896,19,2.75324177,0.129168,True,0.06847947
symmetria/human/inst03_noise0.050,896,0,-0.00000000,2.000000,False,0.07031246
symmetria/human/inst03_noise0.050,896,1,0.07031246,0.270963,False,0.07031246
symmetria/human/inst03_noise0.050,896,2,0.24375312,0.155777,True,0.07031246
symmetria/human/inst03_noise0.050,896,3,0.34100823,0.281545,False,0.07031246
symmetria/human/inst03_noise0.050,896,4,0.52020133,0.106006,True,0.07031246
symmetria/human/inst03_noise0.050,896,5,0.70083010,0.170267,False,0.07031246
symmetria/human/inst03_noise0.050,896,6,0.87472191,0.053644,True,0.07031246
symmetria/human/inst03_noise0.050,896,7,0.92828664,0.135368,True,0.07031246
symmetria/human/inst03_noise0.050,896,8,1.19889375,0.243179,False,0.07031246
symmetria/human/inst03_noise0.050,896,9,1.32901001,0.286835,False,0.07031246
symmetria/human/inst03_noise0.050,896,10,1.43076075,0.300325,False,0.07031246
symmetria/human/inst03_noise0.050,896,11,1.71439972,0.106188,True,0.07031246
symmetria/human/inst03_noise0.050,896,12,1.74104464,0.103388,True,0.07031246
symmetria/human/inst03_noise0.050,896,13,1.76212573,0.148612,True,0.07031246
symmetria/human/inst03_noise0.050,896,14,1.84373085,0.215949,False,0.07031246
symmetria/human/inst03_noise0.050,896,15,2.05689184,0.195980,False,0.07031246
symmetria/human/inst03_noise0.050,896,16,2.28828845,0.202585,False,0.07031246
symmetria/human/inst03_noise0.050,896,17,2.38077222,0.170409,False,0.07031246
symmetria/human/inst03_noise0.050,896,18,2.57966194,0.115577,True,0.07031246
symmetria/human/inst03_noise0.050,896,19,2.68581455,0.179438,False,0.07031246
symmetria/human/inst04_noise0.000,896,0,-0.00000000,2.000000,False,0.06931652
symmetria/human/inst04_noise0.000,896,1,0.06931652,0.268817,False,0.06931652
symmetria/human/inst04_noise0.000,896,2,0.20864987,0.260467,False,0.06931652
symmetria/human/inst04_noise0.000,896,3,0.36900741,0.144164,True,0.06931652
symmetria/human/inst04_noise0.000,896,4,0.48952627,0.206763,False,0.06931652
symmetria/human/inst04_noise0.000,896,5,0.66431367,0.102091,True,0.06931652
symmetria/human/inst04_noise0.000,896,6,0.77222336,0.258713,False,0.06931652
symmetria/human/inst04_noise0.000,896,7,0.92181367,0.212348,False,0.06931652
symmetria/human/inst04_noise0.000,896,8,1.23826033,0.256804,False,0.06931652
symmetria/human/inst04_noise0.000,896,9,1.33545786,0.417651,False,0.06931652
symmetria/human/inst04_noise0.000,896,10,1.43180095,0.135973,True,0.06931652
symmetria/human/inst04_noise0.000,896,11,1.63962777,0.154903,True,0.06931652
symmetria/human/inst04_noise0.000,896,12,1.69733576,0.196990,False,0.06931652
symmetria/human/inst04_noise0.000,896,13,1.87947266,0.133011,True,0.06931652
